"contrast","estimate","SE","df","z.ratio","p.value"
"2_1 - 3_2",0.169525163741422,54.3408537421696,Inf,0.00311966323800812,1
"2_1 - 3_3",2.05254694084273,51.8029607638704,Inf,0.0396221936077883,1
"2_1 - 3_4",2.41492931427447,51.8030487805035,Inf,0.046617513276233,1
"2_1 - 4_1",2.58889879011653,51.8030904449347,Inf,0.0499757595131985,1
"2_1 - 4_2",2.13514047701554,51.8029620376898,Inf,0.0412165712737062,1
"2_1 - 4_3",2.71074825865028,51.8031303245784,Inf,0.0523278852390924,1
"2_1 - 4_4",2.02124819155167,51.802968073916,Inf,0.0390179996765362,1
"2_1 - 5_1",2.58591963564058,51.8030874623169,Inf,0.0499182531836863,1
"2_1 - 5_2",0.33510881015921,52.3103525424027,Inf,0.00640616615779011,1
"2_1 - 5_3",3.17125395086098,51.8032933477594,Inf,0.0612172266649557,1
"2_1 - 5_4",2.04674052135096,51.8029591572899,Inf,0.0395101081993485,1
"2_1 - 6_1",3.56433333035341,51.8034646269556,Inf,0.0688049217561161,1
"2_1 - 6_2",2.69463344718641,51.8030990416292,Inf,0.0520168387034335,1
"2_1 - 6_3",3.09318818191141,51.8032359878127,Inf,0.0597103274135059,1
"2_1 - 6_4",3.04054798240802,51.80320822562,Inf,0.0586942022811683,1
"2_2 - 2_3",-1.31227012210061,9.64429398761678,Inf,-0.136066997105808,1
"2_2 - 2_4",0.305813689768747,0.333947464980465,Inf,0.915753888973631,0.99999977216431
"2_2 - 3_1",0.198580235986198,0.339573108442633,Inf,0.584793763254507,0.999999999979645
"2_2 - 3_2",-1.40852851418135,16.4200876901225,Inf,-0.0857808155938562,1
"2_2 - 3_3",0.474493262919959,0.324680690242935,Inf,1.4614150985232,0.999078980073105
"2_2 - 3_4",0.836875636351694,0.319487321641336,Inf,2.61943300927349,0.581339784979024
"2_2 - 4_1",1.01084511219376,0.323060317848153,Inf,3.12896711959801,0.218105998009592
"2_2 - 4_2",0.557086799092768,0.319322465610359,Inf,1.74459005891722,0.988970986019093
"2_2 - 4_3",1.13269458072751,0.323047097992388,Inf,3.50628310164916,0.07625014206081
"2_2 - 4_4",0.443194513628897,0.3275325445125,Inf,1.35313122635965,0.999726619520643
"2_2 - 5_1",1.00786595771781,0.32053487076306,Inf,3.1443254686097,0.21003874368195
"2_2 - 5_2",-1.24294486776356,7.28323303032183,Inf,-0.170658396153039,1
"2_2 - 5_3",1.59320027293821,0.338586068200247,Inf,4.70545135364506,0.000640100622374962
"2_2 - 5_4",0.468686843428183,0.322983042165509,Inf,1.45111904416335,0.999173601049736
"2_2 - 6_1",1.98627965243064,0.358088944268025,Inf,5.54688907386076,7.86696524956998e-06
"2_2 - 6_2",1.11657976926364,0.320992955334344,Inf,3.47851798834844,0.0830851138573394
